character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
的,"白, 勹, 丶","Possessive, adjectival suffix, mark, target, object","de, dī, dí, dì","的
├── 白
└── 勺
    ├── 勹
    └── 丶",⿰白⿹勹丶,① somebody who clearly 白 has his arms wrapped 勺 around something  possesses it; he has it's place clearly marked in his mind,標,,,1
一,⼀,"One, a, an, alone",yī,一,⼀,① one thing 一; ancient form 弌," 壱 甲; 侖 俞 𠮛 令 弐 武 戸 至 百; pt.: heaven 天; earth, ground, place: 氐 亟 旦 𣄼 亘 上 土 士 丘 不 干 互 昼",,,2
不,"一, ⼃, ⼘","No, not; un-; negative prefix",bù,"不
├── 丆
│   ├── 一
│   └── 丿
└── 卜",⿱一⿰⼃⼘,"① person spreading arms in objection  → 不 ② lit. bird flying under the sky 一 and not coming down  → 不 ③ newborn bird flapping its wings, it will not fly to the sky 一, the result is negative for flying ④ the roots of a plant  → 不: the roots can not be pulled out", 非 無; 杯 否,,,3
是,"日, 一, 龰","Indeed, yes, right, to be, demonstrative pronoun, this, that",shì,"是
├── 日
└── 𤴓
    ├── 一
    └── 龰
        └── 止",⿱日⿱一龰,① a just person 𤴓 doing things in broad daylight 日, 提 堤 題; 显; 観; 端 宜,,,4
了,"乛, 亅","Finish, particle of completed action","le, liǎo, liào","了
├── ㇇
└── 亅",⿱乛亅,"① baby 子 without supporting arm 一: a life coming to fruition, one doesn't need to be supported anymore",卒 完 終; 悟; 蒸,,,5
人,⼈,"Man, people, mankind, someone else, rad. 9",rén,人,⼈,① person standing wide legged → 人," 儿 耂 尸 方 者 ⺼ 手 名 口  夸 漢 彦 郎 夫 男; 兵 黄 只
",,,6
在,土,"Exist, be at, in, on; consist in, rest",zài,"在
├── 𠂇
│   └── 十
└── 37321
    ├── 亻
    └── 土",⿸&CDP-88F1;土,① something pierced through 才 stays at the same place 土:  → 在, 有 存 居; 郷,,,7
有,"丿, 一, 月","Have, own, possess, exist",yǒu,"有
├── 𠂇
│   └── 十
└── 月",⿸⿻丿一月,① hand 𠂇 holding something for months 月 or hand 𠂇 holding something close to the body ⺼: one possesses it ② a hand 𠂇 holding a piece of flesh ⺼: he owns the flesh that exists, 存 在 居; 持; 髄 随 堕 賄,,,8
我,"手, 戈","Our, us, i, me, my, we",wǒ,"我
├── 手
└── 戈",⿰手戈,① hand 手 holding a spear 戈 (and a hanging banner 𠄒): he can defend his own people, 厶 自 僕 個 私 吾 己; 弊; 義 餓 ,,,9
他,"亻, 也","Other, another, he, she, it",tā,"他
├── 亻
└── 也
    ├── 乚
    └── 37387
        ├── ㇆
        └── 丨",⿰亻也,① a full grown person 亻 can't live in the womb 也; he 亻 or she 也,外,,,10
这,"辶, 文","This, these, crawl, trail",zhè,"这
├── 辶
└── 文",⿺辶文,① when travelling ⻌ (crawling along the trail) one sees something (culture 文) along the way and talks 言 about it,,,,11
为,"力, ⺀","Do, handle, govern, act, be","wéi, wèi","为
├── 力
└── ⺀",⿻力⺀,① rs. and lit. hand ⺤ feeding an elephant 為:  → 爲 → 為 → 为,象,,,12
之,丶,"(possessive particle, literary equivalent of 的[de5]), him, her, it",zhī,"之
├── 𪜋
│   ├── 主
│   │   ├── 王
│   │   └── 丶
│   └── 戈
└── ㇝",⿱丶&CDP-8661;,,,,,13
来,"木, 一, 丷","Come, coming, return, returning",lái,"来
├── 未
│   ├── 木
│   └── 一
└── 丷",⿱木⿱一丷,"① modf. 來 → 来 ② looks like a grain of wheat with it's roots 人, ground 一, stem and spike丨, and leaves 一丷: farmers keep coming back to the fields to plant grain",夹; 参; 因 致 醸,,,14
大,⼤,"Big, great, vast, large, high,","dà, dài",大,⼤,① a man 人 spreading his arms 一 wide to take something big;  al. 尢: 旡;  → 亣, 甚; 偉; 奪 奮;,,,15
以,"⼂, 乚, ⼈","By means of, thereby, therefore, consider as, in order to","yǐ, Yǐ","以
├── 37473
│   ├── 乚
│   └── 丶
└── 人",⿰⿱⼂乚⼈,① by means of an individual 厶 person 人 much can be achieved,該; 似,,,16
个,"人, 丨","Numerary adjunct, piece, single, individual",gè,"个
├── 人
└── 丨",⿱人丨,① single person 亻 with individual stories 固 ② ⓢ person 丨 having his own roof 𠆢, 厶 夋 尸 自 我 私 吾 己,,,17
中,"口, 丨","Central, center, middle, in the midst of, hit (target), attain, china","zhōng, zhòng, Zhōng","中
├── 口
└── 丨",⿻口丨,① something 丨 right in the middle of something else 口; china once was the middle of the world,央; 漢; 奥 内; 𠀐 沖 哀 忠 仲; 串: 患,,,18
上,"⺊, 一","Above, up, top, superior, highest, go up, send up","shǎng, shàng","上
├── ⺊
└── 一",⿱⺊一,① something above the ground 一: 𠄞 → stake 丨 standing above the ground 丄 → 上," 高 挙 揚 起 登 昇 騰; 峠 叔
",,,19
们,"亻, 门",Adjunct pronoun indicate plural,men,"们
├── 亻
└── 门",⿰亻门,① many men 亻 waiting at the gate 門,,,,20
到,"一, 厶, 土, 刂","To reach, go to, arrive, been to",dào,"到
├── 至
└── 刂",⿰⿱⿱一厶土刂,① sword 刂 having reached it's destination like the arrow in the ground 至,,,,21
说,"讠, 丷, 口, 儿","Speak, say, talk, scold, explanation, rumor","shuì, shuō","说
├── 讠
└── 兑
    ├── 丷
    └── 兄
        ├── 口
        └── 儿",⿰讠⿱丷⿱口儿,① money 兑 speaks 言 boldest; it is usually the explanation for many actions of the mouth 言 ② many 八 brothers 兄 defending their family verbally 言 ③ ⓢ looks like a comedian talking into a stand microphone,,,,22
国,"囗, 玉","Nation, country, nation-state","guó, Guó","国
├── 囗
└── 玉",⿴囗玉,① people wielding spears 戈 with big mouths 口 protecting their one 一 king and borderline 囗 ② ⓢ a country holds it's precious 玉 treasures within it's borders 囗, 国,,,23
和,"禾, 口","Harmony, peace, peaceful, calm","hé, Hé, hè, hú, huó, huò","和
├── 禾
└── 口",⿰禾口,① countryside: where one can eat 口 one's rice 禾 in peace and harmony,"靖 康 寧 安 幽 泰 静 妥 穏 鎮 尉; 邦; 軟 柔
",,,24
地,"土, 也","Earth, soil, ground, region","de, dì","地
├── 土
└── 也
    ├── 乚
    └── 37387
        ├── ㇆
        └── 丨",⿰土也,"① places 土 with women 也: a man will never forget about it; one's home region is the first and the last 也 place 土 one wants to be
 ② the place 土 where the snakes 也 slither over",壌,,,25
也,也,"Also, classical final particle of strong affirmation or identity","yě, Yě","也
├── 乚
└── 37387
    ├── ㇆
    └── 丨",也,① women's genitals  → 也: it's also the first and the last thing men think about ② rs. picture of a snake:  → 也 ③ snakes are also another thing to worry about when hiking in a forest,蛇; 池 施 地 他 馳 ,,,26
子,⼦,"Offspring, child, fruit, seed of, 1st terrestrial branch","zǐ, zi",子,⼦,①  → 子 ② 㜽: child 子 being washed in the river 巛,童 肖 児 孝 稚 幼 嬰; 𠫓; 浮 遊 字 学 存 好 季 猛 厚 孫 孔 孤,,,27
时,"日, 寸","Time, season, era, age, period, hour","shí, Shí","时
├── 日
└── 寸",⿰日寸,① time 日 it takes the temple 寺 to do something ② ⓢ small 寸 part  of the day 日 ③ al. 旹: time of the day 日 one arrives 㞢," 度 初 期 昔 悠 久 歴 過 回 暇
",,,28
道,"辶, 丷, 一, 自","Path, road, street, method, way, skill",dào,"道
├── 辶
└── 首",⿺辶⿱⿱丷一自,① the leader 首 walks ⻌ at the head 首 and paves the way; he's skilled in many arts, 街 通 路; 県; 導,,,29
出,"凵, 丨","Go out, send out, stand, produce",chū,"出
└── 山",⿱⿻凵丨凵,① sprout 屮 coming out of a receptacle 凵, 癶; 拙 屈,,,30
而,⽽,"Accordingly, otherwise, and yet, but, nevertheless, you, on the condition that, supposing that, if, and, also",ér,而,⽽,① rs. remnant of a beard and a man and a root:  → 而,,,,31
要,"覀, 女","Necessary, essential, necessity, important, demand","yāo, yào","要
├── 覀
└── 女",⿱覀女,① rs. hands 廾 around the head 口 of a child (覀) to be delivered from a woman 女: necessary to deliver a healthy child ② an important western 覀 woman 女 demands whatever she will,,,,32
于,"⼲, ⼅","In, on, at, go to, going","yú, Yú","于
├── 干
└── 亅",⿻⼲⼅,① crossing streets ② rs. probably a compass (dividers) for making molds of like shape,怪; 通; 夸 汚 宇 芋 行,,,33
就,"亠, 口, 小, 尢, 丶","Just, simply, to come, go to, to approach, near, assume, take",jiù,"就
├── 京
│   ├── 37045
│   │   ├── 亠
│   │   └── 口
│   └── 小
└── 尤
    ├── 尢
    └── 丶",⿰⿳亠口小⿺尢丶,① people in the capital 京 are like dogs 尤: they just come and go and take things without asking; they assume their position without thinking,,,,34
下,"一, 卜","Under, underneath, below, down, inferior, bring down",xià,"下
├── 一
└── 卜",⿱一卜,① something below the ground 一: 𠄟 → 丅 → 下," 戴; 本 塁; 低; 劣; 懸 垂; 落; 降; 与 授; 峠
",,,35
得,"彳, 日, 一, 寸","Obtain, get, gain, acquire, can, may, able to","dé, de, děi","得
├── 彳
└── 㝵
    ├── 旦
    │   ├── 日
    │   └── 一
    └── 寸",⿰彳⿱⿱日一寸,① go 彳 get 㝵 something,,,,36
可,"一, 亅, 口","Good, approval, may, can, -able, possibly","kě, kè","可
├── 丁
│   ├── 一
│   └── 亅
└── 口",⿹⿱一亅口,"①  → 可: it is good not to talk 口 too much 丂; approval is given by nodding one's head, not by talking; what can possibly go wrong when everything is good?",宜 良 善; 許 認; 河 奇 何 歌,,,37
你,"亻, 𠂊, 小","You, second person pronoun",nǐ,"你
├── 亻
└── 尔
    ├── ⺈
    └── 小",⿰亻⿱𠂊小,① a person 亻 like you 尔,,,,38
年,年,"Year, new-years, person's age","nián, Nián","年
├── 𠂉
│   ├── 丿
│   └── 一
└── 㐄
    ├── 十
    └── 60954
        ├── ㇗
        └── 丨",年,① a tree 禾/生 may live a thousand 千 years: 秊 → 年 ② person with a hat 午 carrying stalks of grain: the year end harvest,畜 甚 牧; 齢 歳 才; 暮,,,39
生,⽣,"Life, living, lifetime, birth",shēng,生,⽣,① branches of a plant or tree  → 𤯓 being slashed ⼃ off: the branch grows back and if you plant the cut off part it becomes a new plant, 暮 命; 興; 誕; 清; 産 性 姓 牲 隆 星,,,40
自,⾃,"Self, private, personal, from",zì,自,⾃,① rs. head with a nose  → 自: point to the nose to indicate oneself,厶 個 我 私 吾 己; 身; 息 臭; 鼻,,,41
会,"人, 二, 厶","Assemble, meet together, meeting, organization","huì, kuài","会
├── 人
└── 云
    ├── 二
    └── 厶",⿱人⿱二厶,"① rs. mouth 亼 above, mouth 曰 below, middle is mouth 曰 with possible rice in it: meeting over food ② ⓢ gather 亼 under a roof 𠆢 to talk 云 with each other 云",合,,,42
那,"刀, 二, 阝","That, those, then (in that case)","nǎ, nà, nuó, Nā, Nuó","那
├── 38068
│   ├── ㇆
│   └── 37024
│       ├── 二
│       └── 丨
└── 阝",⿰⿻刀二阝,① how can a tender 冄 one defeat a fortified city 阝? that is not obvious; see 哪,,,,43
后,"𠂆, 一, 口","Behind, rear, after, descendants","hòu, Hòu","后
├── ⺁
└── 𠮛
    ├── 一
    └── 口",⿸⿸𠂆一口,① if one walks 夂 with small 幺 steps with the left foot 彳 one lags behind all others and forms the rear of the party ② ⓢ eating one 一 mouthful 口 after work at the factory 厂,滞 后 陰; 遅,,,44
能,"厶, ⺆, 冫, 匕","To be able, can, permitted to, ability, noh","néng, Néng","能
├── 䏍
│   ├── 厶
│   └── 月
└── 65438
    └── 匕",⿰⿱厶⿵⺆冫⿱匕匕,① many individual 厶 people 匕匕⺼ together are able to do great things; one needs many abilities to perform on stage ② rs. a bear with four feet and meat in its mouth:  →  →  → 能, 俳; 技 才 腕; 謡; 劇; 熊 態 罷,,,45
对,"又, 寸","Correct, right, facing, opposed",duì,"对
├── 又
└── 寸",⿰又寸,"① the law spoken by the king 王  stands 业 above all else, big 丷 and small 寸 ② ⓢ two hands 寸 又 correcting something ③ ⓢ correct again 又 therefore deserve a thump up 寸",,,,46
着,"羊, 目","Manifest, to wear, arrive, make move, take action, auxiliary word: action in progress","zhāo, zháo, zhe, zhuó, zhù","着
├── 羊
└── 目",⿸羊目,"① sheep ⺷ arriving to be slaughtered ⼃ (= take decisive action) to wear their fur and look 目 good ② keep eyes 目 on the sheep ⺶, one says to the auxiliary: report any action ongoing",羞 差; 達 到 至 及 届; 帯 召 履; 服,,,47
事,"⼗, ⼝, ⾀, ⼅","Affair, matter, thing, business, to serve, accident, incident",shì,"事
├── 38013
│   ├── 65522
│   │   ├── 十
│   │   └── 中
│   │       ├── 口
│   │       └── 丨
│   └── ⺺
└── 亅",⿻⿳⼗⼝⾀⼅,① rs. hand ⺕ planting a plant 十 on order 口:  → 事,物 品; 件,,,48
其,"一, 八","His, her, its, their, that",qí,"其
├── 甘
└── 35189
    ├── 一
    └── 八",⿱⿱&CDP-88C8;一八,"① basket on the table 丌:  → 其: that what has just been bought is his', hers, theirs","庫 室 蔵 倉; 旗 棋 期 欺 基 甚 碁
",,,49
里,⾥,"Unit of distance, village, lane","lǐ, Lǐ",里,⾥,① place 土 with/between nearby rice fields 田," 甫 村 郷; 裏 童 埋 理 厘 黒 黙 野 量
",,,50
所,"丿, 尸, 斤","Place, location, building, office",suǒ,"所
├── 戶
└── 斤",⿰⿱丿尸斤,① ax 斤 protecting a door 戸/戶,場 処,,,51
去,"土, 厶","Go away, leave, depart",qù,"去
├── 土
└── 厶",⿱土厶,① a man 土 leaving secretly 厶,"  癶 昜; 莫 旡; 経; 法 却
",,,52
行,⾏,"Go, walk, move, travel, circulate","háng, xíng",行,⾏,① crossroads  →行 ② step with the left foot 彳 and with the right foot 亍 to walk, 赴 往 参; 致; 業,,,53
过,"辶, 寸","Pass, pass through, go across, error","guò, guo, Guò","过
├── 辶
└── 寸",⿺辶寸,① go ⻌ through a deformed opening 咼: pass through/go ⻌ through a small 寸 opening: pass through; it doesn't leave room for error,,,,54
家,"宀, 豕","House, home, residence, family, specialist",jiā,"家
├── 宀
└── 豕",⿱宀豕,① animals 豕 are kept at house 宀 so they are not stolen and cared for by a specialist," 咅 𠆢 𠮛 畐 冋 族 宇 宅 軒 舎 戸 屋; 姓 系; 嫁 稼; abbr. 豕: 豪
",,,55
十,⼗,"Ten, tenth, complete, perfect",shí,十,⼗,"① direction east west 一 and direction north south 丨 refers to everything which is under the four wind directions; perfect in all directions; con.: many, high intensity"," 汁 協 博 針 計 什; 拾; 旬; 多; 早 辛
",,,56
用,⽤,"Use, employ, apply, operate, use",yòng,用,⽤,① container used for storing or employed for churning milk:  → 用," 遣 使; 甫 甬 庸 備
",,,57
发,发,"Issue, dispatch, send out, emit","fā, fà","发
├── 37641
│   ├── 60954
│   │   ├── ㇗
│   │   └── 丨
│   └── 丶
└── 又",发,① rs. the action of 殳 on a bow 弓 to make the arrow go forward 癶: shoot ② ⓢ hand 又 holding a crossbow ready to shoot: 发 ③ two hands 开 issuing or sending out a message carried by legs 癶,,,,58
天,"一, 大","Sky, heaven, god, celestial",tiān,"天
├── 一
└── 大",⿱一大,① which is above 一 even the biggest man 大," 宇 蚕; al. : top stroke of 天: 存 在 丙 雨 下 王 互 正; 夭: 橋 忝 矯 笑; : top stroke of 夭: heaven = good, superior: 禾 壬  㠯 宅 乏 系 釈 番 託 廷 延 風 ; 无: 旡",,,59
如,"女, 口","Like, as, if, supposing, as if, as good as, equal to, to follow (advice), to listen to, to go to, to arrive at, should, ought to, on or in (time)",rú,"如
├── 女
└── 口",⿰女口,① woman 女 saying 口 things like as if you should be supposed to listen to it,,,,60
然,"𠂊, 冫, 犬, 灬","Positive, yes, certainly, pledge, promise, sort of thing, so",rán,"然
├── 肰
│   ├── 月
│   └── 犬
└── 灬",⿱⿰⿴𠂊冫犬灬,① rs. dog 犬 meat 月 cooked on a fire 灬: good food certainly giving a lot of positive energy,,,,61
作,"亻, 乍","Make, work, compose, write, act, perform","zuō, zuò","作
├── 亻
└── 乍
    ├── 37416
    │   ├── 𠂉
    │   │   ├── 丿
    │   │   └── 一
    │   └── 丨
    └── 二",⿰亻乍,① person 亻 watching another person being thrown in the air 乍: quite an act which is hard work but makes for a good performance, 製 造,,,62
方,⽅,"A square, rectangle, a region, local, direction","fāng, Fāng",方,⽅,"① rs. man 人 carrying a load 亠: he must know exactly which direction he goes otherwise he won't reach his target
 ② man 人 under a roof 亠: a roof is square ③ a square-shouldered, square-built powerfull man 人 carries a heavy weight 亠: he has as aspect not to be afraid to be upright and honest, he can stand his ground, that is a law of nature ④ looks like a person running in a certain direction",㫃 坊 妨 芳 傍 紡 房 訪 防 肪,,,63
成,"厂, 戈, 𠃌","Completed, finished, fixed, fully grown","chéng, Chéng","成
├── 万
│   ├── 一
│   └── 37184
│       ├── 丿
│       └── ㇆
└── 戈",⿵⿻厂戈𠃌,① males (rotated) 丁 holding spears 戈: they have completed their path to adulthood,城 盛 誠; 戊; 就 為 遂 致; don't confuse with 或,,,64
者,"耂, 日","That which, he who, those who, someone, person",zhě,"者
├── 耂
└── 日",⿸耂日,① person working on the fields 耂 every day 日; he who does that leads a good life ② rs. the sound of 曰 a burning bush 耂," 尸 人 ⺼ 口; 煮 都 著 緒 諸 暑
",,,65
多,夕,"Much, many, more than, over",duō,"多
└── 夕",⿱夕夕,① if one sees the moon twice 夕夕 you have drunk too much; old variant: 𡖇, 十 諸; 移,,,66
日,⽇,"Sun, day, daytime, japan, rad. 72","rì, Rì",日,⽇,① sun disc  → 日; a day is the time the sun takes to appear in the same position; daytime is when the sun shines; japan is located (from china) where the sun comes up; do not confuse with 曰 rad. 73 ② con. light,"陽; 邦 和
",,,67
都,"耂, 日, 阝","Metropolis, capital, all, the whole, elegant, refined","dōu, dū, Dū","都
├── 者
│   ├── 耂
│   └── 日
└── 阝",⿰⿸耂日阝,① all the people 者 of the city 阝 elegantly dressed up, 洛 京; 市,,,68
三,"二, 一",Three,"sān, Sān","三
├── 一
└── 二",⿻二一,① three times one 一, 参 丙 ,,,69
小,⼩,"Small, tiny, insignificant",xiǎo,小,⼩,① small baby  → 小,"𢦑 細 狭; 京 (斎) 少 叔 称 原; al. ⺌: 敝 削 鎖; : 不; 県
",,,70
军,"冖, 车","Army, military, soldiers, troops",jūn,"军
├── 冖
└── 车",⿱冖车,① rs. chariot 車 with men 勹 transported to war,師 屯 兵 武 陣 尉; 輝 揮 運,,,71
二,⼆,"Two, twice",èr,二,⼆,① twice one 一, 弐 乙; 仁 元 云; al. 冫: 次,,,72
无,⽆,"Negative, no, not; lack, have no",wú,无,⽆,① rs. dancer holding both tails in his hands  → 無 → 无: his tails or not touching the ground; fire 灬 under a bale of straw: nothing is left after it is burned,,,,73
同,"冂, 一, 口","Same, similar, together with","tóng, tòng","同
├── 冂
└── 𠮛
    ├── 一
    └── 口",⿵⿵冂一口,① all 𠔼 mouths 口 agree on the same thing," 如 等; 洞 筒 興 銅 胴
",,,74
么,"丿, 厶","Interrogative final particle; insignificant, small, tiny","má, ma, me, mó","么
├── 丿
└── 厶",⿱丿厶,"① if you ask a question, the answers hangs 幺 in the air by a thread 麻 ② tiny things can be hung by threads 幺麻 ③ modf. 幺 → 么: one 一 tiny individual 厶 thing",,,,75
经,"纟, ス, 工","Classic works, warp of a fabric, things running lengthwise, rules, regulations, plan, rule, arrange, pass through, stand, longitude","jīng, Jīng","经
├── 纟
└── 37030
    ├── 龴
    │   └── 厶
    └── 工",⿰纟⿱ス工,"① streams under ground 巠 passing through the bedrock like a thread 糸 passing through a bound book with classic  works, plans or regulations ② ⓢ a thread 纟binding a crafted 工 book by entering 入 it ③ holy 圣 silk 糸 cloth with sutras: reading them one passes through various stages of enlightenment",,,,76
法,"氵, 土, 厶","Law, rule, regulation, statute, france, french, method","fǎ, Fǎ","法
├── 氵
└── 去
    ├── 土
    └── 厶",⿰氵⿱土厶,① what people try to evade 去 fleeing like flowing water 氵; the law of most western countries is based on the french penal law and works methodically,灋,,,77
当,"⺌, 彐","Bear, accept, undertake, just, hit","dāng, dàng","当
├── ⺌
└── 彐",⿱⺌彐,① rs. mortgage land 田 and buildings 尚 ② ⓢ hand ⺕ accepting the fire ⺌ to hit a building,,,,78
起,"土, 龰, 巳","Rise, stand up, go up, begin",qǐ,"起
├── 走
└── 己",⿺⿱土龰巳,① done right before walking 走 by oneself 己,,,,79
与,一,"Participate, and, with, give","yú, yǔ, yù","与
├── 37189
│   └── 己
└── 一",⿹&CDP-8BBF;一,① rs. hands lifting 舁 a spoon with something in it 与 ② ⓢ hold a spoon 一 to feed one in the mouth 勺: give food,兴,,,80
好,"女, 子","Good, excellent, fine, well; love","hǎo, hào","好
├── 女
└── 子",⿰女子,① a woman 女 should have a good relation with her child 子; a woman loving her child 子, 召; 恋 慈 愛 焦; 悦 喜,,,81
看,"龵, 目","Look, see, examine, scrutinize","kān, kàn","看
├── 龵
└── 目",⿱龵目,① rs. hand 龵 shading the eyes 目 to see, 視 観 覧 見 眺,,,82
学,"𭕄, 冖, 子","Learning, knowledge, school",xué,"学
├── 37044
│   ├── ⺍
│   └── 冖
└── 子",⿳𭕄冖子,① a child 子 learns 龸; also 學," 覚 博 教 懲 修 習;  業 科
",,,83
进,"辶, ⼶, ⼀","Advance, make progress, enter",jìn,"进
├── 辶
└── 井
    ├── 10001
    │   └── 丨
    └── 二",⿺辶⿻⼶⼀,① go ⻌ as fast as a bird 隹/go ⻌ as fast as one falls down a mine shaft 井,,,,84
种,"禾, 口, 丨","Seed, race, offspring, to plant","zhǒng, zhòng","种
├── 禾
└── 中
    ├── 口
    └── 丨",⿰禾⿻口丨,① that which makes a tree or plant 禾 heavy 重 ② ⓢ found at the centre 中 of a plant 禾,,,,85
将,"丬, 夕, 寸","Will, going to, future, general","jiāng, jiàng, qiāng","将
├── 丬
└── 𪨃
    ├── 小
    └── 捽
        ├── 扌
        └── 卒
            ├── 亠
            └── 38261
                ├── 从
                │   └── 人
                └── 十",⿰丬⿱夕寸,"① hand holding 寸 meat 月 on the half trunk (serving as table) 爿/丬: general eating a handfull 寽, from now on he will be the leader ② ⓢ a small 寸 split trunk 丬 looks like a general at night 夕, we will make mistakes because we don't see in the future",,,,86
还,"辶, 一, ⼃, ⼘","Return, come back, repay, yet, still","hái, huán, Huán","还
├── 辶
└── 不
    ├── 丆
    │   ├── 一
    │   └── 丿
    └── 卜",⿺辶⿱一⿰⼃⼘,① going ⻌ round 睘 one returns to the same place ② ⓢ a person with spread arms 不 blocks the going ⻌: one has to return ③ ⓢ do not 不 walk 辶 if you still have to return,,,,87
分,"八, 刀","Divide, small unit of time etc.","fēn, fèn","分
├── 八
└── 刀",⿱八刀,① something cut 刀 in equal 八 parts; an hour divided in equal parts," 部; 剖 割 析 別; 彰 悟; 粉 貧 頒 盆 紛 雰
",,,88
此,"止, 匕","This, these, in this case, then",cǐ,"此
├── 止
└── 匕",⿰止匕,① stop 止 eating 匕 to look at something, 些,,,89
心,⼼,"Heart, mind, intelligence, soul",xīn,心,⼼,① image of heart  →  → 心; what touches the heart influences mind and soul,"   意 衷 情 凶 惑 念 腹; al. 忄: 1143-1178; ⺗: 恭 慕 忝
",,,90
前,"丷, 一, 月, 刂","In front, forward, preceding",qián,"前
├── 䒑
│   ├── 丷
│   └── 一
└── 刖
    ├── 月
    └── 刂",⿱⿱丷一⿰月刂,① one cuts his food (vegetables 䒑 and meat 月) with a knife 刂 on the plate in front of him ② rs. boat 月(舟) on the water 刂 going 止 forward: 𠝣 → 前," 煎 揃; 剪, 切",,,91
面,⾯,"Face, surface, plane, side, dimension",miàn,面,⾯,① lit.: modf. 𦣻; head 𦣻 with a mouth 口, 顔; 表; 相 ,,,92
又,⼜,"(once) again, also, both... and..., and yet, (used for emphasis) anyway",yòu,又,⼜,,,,,93
定,"宀, 一, 龰","Decide, settle, fix",dìng,"定
├── 宀
└── 𤴓
    ├── 一
    └── 龰
        └── 止",⿱宀⿱一龰,① person standing upright 𤴓 in the house 宀: he's finaly decided to fix his house,守; 決; 確; 錠,,,94
见,⾒,"See, observe, behold, perceive","jiàn, xiàn",见,⾒,"① the eyes 目 of somebody with legs 儿 can see ② ⓢ rays 儿 of the sun come into my open eye 匚, so i can see that it appears 见 to be daylight, in my opinion it's a good idea to meet someone.", 望 看 眺; 示; 親 視 寛 覚 規 観 現 覧,,,95
只,"口, 八","Only, merely, but","zhǐ, zhī","只
├── 口
└── 八",⿱口八,① clan 氏 members can only wear a certain type of clothes 衤/只,,,,96
主,"亠, 土","Master, chief owner, host, lord",zhǔ,"主
├── 王
└── 丶",⿱亠土,① oil lamp made of clay 土 which the leader holds:  → 主 ② the flame 丶is the most important part of the lamp 王," 師 公 侯 君 殿; 要; 注 柱 往 住 駐; 龶:    素 青 毒 責 表 麦
",,,97
没,"氵, 𠘧, 又","Not, have not, none, drown, sink","méi, mò","没
├── 氵
└── 殳",⿰氵⿱𠘧又,"① killed 殳 by water 氵: drown, sink; it's not fun ② you throw your weapon 殳 in the water 氵, it sinks. you do not have it anymore. ③ walking 又 around with an axe 几 on a slippery 氵floor ,
makes you fall on your own weapon 殳 and die. 
do not do it, because it's negative.",沈; 消; 死,,,98
公,"八, 厶","Fair, equitable, public, duke",gōng,"公
├── 八
└── 厶",⿱八厶,"① many 八 individuals 厶 working together, serving the public in a fair way; they have a park with pine trees 松 ② an honorable man with a mustache 八  and pipe 厶 looks like a duke or father-in-law ③ a bull has horns 八  and a snout 厶 (male animal) ④ 厶 (arm with cleaver in motion) divides 八 in two: fare and equitable in the public interest ⑤ individual 厶 looks like an arm with cleaver in motion that divides in 2 八 equal pieces : 公 this is fair , just and equitable which is in the public and common interest",衆 明; 主 君 殿;  松 翁 訟,,,99
从,人,"From, by, accompany, undertake, manage, attend to","cóng, Cóng","从
└── 人",⿰人人,① rs. the one that follows 从  (by foot 彳) on the road 龰 ② ⓢ person 人 following another person 人,,,,100
知,"丿, 一, 大, 口","Know, perceive, comprehend",zhī,"知
├── 矢
└── 口",⿰⿱⿰丿一大口,① knowledge shoots like an arrow 矢 out of the mouth 口," 存 識; 諭; 哲; 教 告; 痴
",,,101
使,"亻, 一, ⼗, ⼝, 丿, 乀","Use, employ, apply, cause, send on a mission, order",shǐ,"使
├── 亻
└── 吏
    ├── 65522
    │   ├── 十
    │   └── 中
    │       ├── 口
    │       └── 丨
    └── 乂
        └── ㇒",⿰亻⿻一⿳⼗⼝⿻丿乀,① official government 吏 person 亻 on a mission: he carries orders and is used to transfer messages,遣 用,,,102
部,"立, 口, 阝","Part, division, section",bù,"部
├── 咅
│   ├── 立
│   └── 口
└── 阝",⿰⿱立口阝,① area 阝 filled with standing people 咅,,,,103
本,"木, 一","Root, origin, source, basis, book",běn,"本
├── 木
└── 一",⿻木一,① lit. at the base 一 of the tree 木 lie its roots and its origin; the basis of all knowledge is in books," 源 基 創 元 下 原 塁; 之; 乚 巻 帳 書 典 簿 簡 籍 頁 冊; 体 鉢
",,,104
动,"二, 厶, 力","Move, happen, movement, action",dòng,"动
├── 云
│   ├── 二
│   └── 厶
└── 力",⿰⿱二厶力,"① force 力 moving 重 something ② ⓢ force 力 provoking talk 云: action, movement ③ ⓢ use steam 云 power 力 to generate action and movement",移; 働 勲,,,105
现,"王, 见","Appear, manifest, become visible",xiàn,"现
├── 王
└── 见",⿰王见,① the king 王 is seen 見 by everyone in public: a manifest appearance," 表 示
",,,106
因,"囗, 大","Cause, reason, by, because (of)",yīn,"因
├── 囗
└── 大",⿴囗大,① person 大 locked up 囗: usually with good reason ② con. prisoner,,,,107
开,"一, 廾","Open, initiate, begin, start",kāi,"开
├── 一
└── 廾",⿱一廾,① two hands 开 pushing open the gate 門 ② ⓢ looks like two hands 廾 opening the latch 一 of a gate,"発; 挨 披 明
",,,108
