character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
滔,"氵, 爫, 臼","overflow, torrent-dash",tāo,"滔
├── 氵
└── 舀
    ├── 爫
    └── 臼",⿰氵⿱爫臼,,,,,2831
稼,"禾, 宀, 豕","Sow grain, sheaves of grain, earnings",jià,"稼
├── 禾
└── 家
    ├── 宀
    └── 豕",⿰禾⿱宀豕,① household 家 sowing grain 禾 in order to harvest it,,,,2832
幢,"巾, 立, 里","banner, classifier for buildings, carriage curtain (old)","chuáng, zhuàng","幢
├── 巾
└── 童
    ├── 立
    └── 里",⿰巾⿱立里,,,,,2833
罐,"缶, 艹, 口, 隹","can, jar, pot, variant of 罐[guan4]",guàn,"罐
├── 缶
└── 雚
    ├── 艹
    └── 𨾴
        ├── 吅
        │   └── 口
        └── 隹",⿰缶⿱艹⿱⿰口口隹,,,,,2834
绞,"纟, 亠, 父","Twist, wring, intertwine, winch",jiǎo,"绞
├── 纟
└── 交
    ├── 六
    │   ├── 亠
    │   └── 八
    └── 乂
        └── ㇒",⿰纟⿱亠父,"① strings 糸 being mixed 交: intertwine, twist",,,,2835
沛,"氵, 一, 巾","copious, abundant",pèi,"沛
├── 氵
└── 巿
    ├── 十
    └── 巾",⿰氵⿻一巾,,,,,2836
熬,"龶, 丿, 𠃌, 攵, 灬","to boil, to simmer, to cook on a slow fire, to extract by heating, to decoct, to endure","āo, áo","熬
├── 敖
│   ├── 37749
│   │   ├── 龶
│   │   │   └── 丰
│   │   └── 万
│   │       ├── 一
│   │       └── 37184
│   │           ├── 丿
│   │           └── ㇆
│   └── ⺙
└── 灬",⿱⿰⿱龶⿰丿𠃌攵灬,,,,,2837
膏,"亠, 口, 冂, 月","Grease, fat, paste, ointment","gāo, gào","膏
├── 37045
│   ├── 亠
│   └── 口
└── 38499
    ├── 冖
    └── 肙
        ├── 口
        └── 月",⿱⿳亠口⿵冂口月,① body 月 that has grown to be high 高: contains a lot of fat,,,,2838
哇,"口, 土","Wow!, sound of child's crying, sound of vomiting, replaces 啊[a5] when following the vowel ""u"" or ""ao""","wā, wa","哇
├── 口
└── 圭
    └── 土",⿰口⿱土土,,,,,2839
肾,"〢, 又, 月","Kidneys, testes, gizzard",shèn,"肾
├── 37144
│   ├── 37255
│   │   ├── 丨
│   │   └── 丨
│   └── 又
└── 月",⿱⿰〢又月,① part of the body 月 when held under once hand 臤 is very painful,,,,2840
姥,"女, 耂, 匕","grandma (maternal), governess, old woman","lǎo, mǔ","姥
├── 女
└── 老",⿰女⿸耂匕,,,,,2841
卦,"土, 卜","Fortune telling, tell fortunes",guà,"卦
├── 圭
│   └── 土
└── 卜",⿰⿱土土卜,① a fortune teller 卜 performing a ceremony 圭,,,,2842
稚,"禾, 隹","Young, immature, childhood",zhì,"稚
├── 禾
└── 隹",⿰禾隹,① young like grain 禾 and little birds 隹,,,,2843
塌,"土, 日, 𠃌, 冫","to collapse, to droop, to settle down",tā,"塌
├── 土
└── 𦐇
    ├── 日
    └── 羽",⿰土⿱日⿰⿹𠃌冫⿹𠃌冫,,,,,2844
汲,"氵, 及","Draw water from well, imbibe","jí, Jí","汲
├── 氵
└── 及
    ├── 乃
    │   ├── ㇎
    │   └── 丿
    └── ㇏",⿰氵及,① reach for 及 water 氵,,,,2845
哗,"口, 亻, 乚, 丿, 十","Rushing sound, gush forward","huā, huá","哗
├── 口
└── 华
    ├── 化
    │   ├── 亻
    │   └── 匕
    └── 十",⿰口⿱⿰亻⿻乚丿十,① mouth 口 of chinese 華 making a rushing sound,,,,2846
沮,"氵, 月, 一","to destroy, to stop",jǔ,"沮
├── 氵
└── 且
    ├── 月
    └── 一",⿰氵⿻月一,,,,,2847
赂,"贝, 夂, 口","Bribe, give present",lù,"赂
├── 贝
└── 各
    ├── 夂
    └── 口",⿰贝⿱夂口,① influence everything 各 with money 貝: bribe,,,,2848
坝,"土, 贝","dam, dike, embankment, CL:條|条[tiao2]",bà,"坝
├── 土
└── 贝",⿰土贝,,,,,2849
捆,"扌, 囗, 木","a bunch, to tie together, bundle, variant of 捆[kun3]",kǔn,"捆
├── 扌
└── 困
    ├── 囗
    └── 木",⿰扌⿴囗木,,,,,2850
挠,"扌, 一, 乚, 丿, 兀","to scratch, to thwart, to yield",náo,"挠
├── 扌
└── 尧
    ├── 37427
    └── 兀",⿰扌⿱⿻⿻一乚丿兀,,,,,2851
咎,"夂, 卜, 口","Fault, defect, error, mistake",jiù,"咎
├── 处
│   ├── 夂
│   └── 卜
└── 口",⿱⿺夂卜口,① opening your mouth 口 when you hear the sound of the tiger 処: big mistake,,,,2852
磕,"石, 土, 厶, 皿","to tap, to knock (against sth hard), to knock (mud from boots, ashes from a pipe etc), variant of 嗑[ke4]","kē, kè","磕
├── 石
└── 盍
    ├── 去
    │   ├── 土
    │   └── 厶
    └── 皿",⿰石⿱⿱土厶皿,,,,,2853
遏,"辶, 日, 勹, 𠃊, 人","to restrain, to check, to hold back",è,"遏
├── 辶
└── 曷
    ├── 曰
    └── 匃
        ├── 勽
        │   ├── 勹
        │   └── 人
        └── ㇗",⿺辶⿱日⿹勹⿺𠃊人,,,,,2854
赃,"贝, 广, 土","stolen goods, booty, spoils, variant of 贓|赃[zang1]",zāng,"赃
├── 贝
└── 庄
    ├── 广
    └── 土",⿰贝⿸广土,,,,,2855
嗽,"口, 木, 欠","Cough, gargle, clear throat",sòu,"嗽
├── 口
└── 欶
    ├── 束
    │   ├── 木
    │   └── 口
    └── 欠",⿰口⿰⿻木口欠,① man inhaling something from a package 欶 in his mouth 口 in order not to cough,,,,2856
梨,"禾, 刂, 木","Pear, pear tree, chinese opera",lí,"梨
├── 利
│   ├── 禾
│   └── 刂
└── 木",⿱⿰禾刂木,① tree 木 from which you can gain 利 fruit,,,,2857
彬,"木, 彡","Cultivated, well-bred, refined, gentle",bīn,"彬
├── 林
│   └── 木
└── 彡",⿰⿰木木彡,① rs. trees 林 in lines 彡: sign of cultivation,,,,2858
芯,"艹, 心","Wick, marrow, core, juncus effusus","xīn, xìn","芯
├── 艹
└── 心",⿱艹心,① something at the centre 心 made from plant material 艹,,,,2859
侣,"亻, 口","Companion, associate with",lǔ:,"侣
├── 亻
└── 吕
    └── 口",⿰亻⿱口口,① linked 呂/吕 person 亻,,,,2860
谑,"讠, 虍, 匚, 一","Jest, joke, banter, tease, ridicule, satirise",xuè,"谑
├── 讠
└── 虐
    ├── 虍
    └── 37536
        └── ⺕",⿰讠⿸虍⿻匚一,① talk 言 like a crude tiger with his claws 虐: tease and ridicule someone,,,,2861
苹,"艹, 干, 丷","Artemisia, duckweed, apple",píng,"苹
├── 艹
└── 平
    ├── 干
    └── 丷",⿱艹⿻干丷,① fruit 艹 in the shape of a head 頁 one can eat while walking 歩 ② ⓢ weed or fruit 艹 growing in peaceful 平 countryside 平 gardens,,,,2862
捞,"扌, 艹, 冖, 力","to fish up, to dredge up",lāo,"捞
├── 扌
└── 劳
    ├── 艹
    └── 37807
        ├── 冖
        └── 力",⿰扌⿱⿱艹冖力,,,,,2863
叭,"口, 八",denote a sound or sharp noise (gunfire etc),bā,"叭
├── 口
└── 八",⿰口八,,,,,2864
